nSerialNumber,TimeStamp,sSymbol,nBestBuyOrderPrice,nBestBuyOrderQuantity,nBestSellOrderPrice,nBestSellOrderQuantity,nLastTradedPrice,nTotalTradedQuantity
1,01-09-2017 09:15,XYZ Corporation,1173.05,26,1174.2,335,1173,2850
2,01-09-2017 09:15,XYZ Corporation,1172.1,5,1172.95,21,1172.95,3049
3,01-09-2017 09:15,XYZ Corporation,1172,163,1172.1,6,1172,3112
4,01-09-2017 09:15,XYZ Corporation,1172,23,1172.9,26,1172,3384
5,01-09-2017 09:15,XYZ Corporation,1171,111,1171.05,9,1171,3579
6,01-09-2017 09:15,XYZ Corporation,1171,19,1171.95,26,1171,3731
7,01-09-2017 09:15,XYZ Corporation,1171.55,98,1172,15,1172,3983
8,01-09-2017 09:15,XYZ Corporation,1171.05,74,1171.45,5,1171,4165
9,01-09-2017 09:15,XYZ Corporation,1171,15,1171.9,26,1171,4245
10,01-09-2017 09:15,XYZ Corporation,1173,115,1173.05,1,1173,5104
11,01-09-2017 09:15,XYZ Corporation,1173,297,1173.75,26,1173,6046
12,01-09-2017 09:15,XYZ Corporation,1173.05,26,1173.9,26,1174,6246
13,01-09-2017 09:15,XYZ Corporation,1173,97,1173.05,10,1173,6483
14,01-09-2017 09:15,XYZ Corporation,1173,897,1173.05,7,1173,6881
15,01-09-2017 09:15,XYZ Corporation,1173,646,1173.05,6,1173,7137
16,01-09-2017 09:15,XYZ Corporation,1173.05,5,1173.85,26,1173.95,7249
17,01-09-2017 09:15,XYZ Corporation,1173.05,170,1173.55,121,1173.05,7762
18,01-09-2017 09:15,XYZ Corporation,1173,101,1173.05,18,1173.05,7932
19,01-09-2017 09:15,XYZ Corporation,1173.05,86,1173.75,26,1173.05,8318
20,01-09-2017 09:15,XYZ Corporation,1173.05,67,1173.7,3,1173.05,8415
21,01-09-2017 09:15,XYZ Corporation,1173,530,1173.65,127,1173,8624
22,01-09-2017 09:15,XYZ Corporation,1173,530,1173.65,127,1173,8624
23,01-09-2017 09:15,XYZ Corporation,1173,346,1173.45,127,1173,8808
24,01-09-2017 09:15,XYZ Corporation,1173,319,1173.45,117,1173,8845
25,01-09-2017 09:15,XYZ Corporation,1173,319,1173.05,127,1173,8845
26,01-09-2017 09:15,XYZ Corporation,1173,314,1173.05,122,1173,8855
27,01-09-2017 09:15,XYZ Corporation,1173,207,1173.05,122,1173,8962
28,01-09-2017 09:15,XYZ Corporation,1173,155,1173.05,13,1173,9194
29,01-09-2017 09:15,XYZ Corporation,1173,116,1173.4,528,1173,9433
30,01-09-2017 09:15,XYZ Corporation,1173,116,1173.55,450,1173.5,9513
31,01-09-2017 09:15,XYZ Corporation,1172.25,127,1172.5,6,1172.15,9903
32,01-09-2017 09:15,XYZ Corporation,1172.15,26,1172.85,20,1173,10156
33,01-09-2017 09:15,XYZ Corporation,1172.05,87,1172.5,1,1172.05,10219
34,01-09-2017 09:15,XYZ Corporation,1171.85,115,1172.95,26,1173,10303
35,01-09-2017 09:15,XYZ Corporation,1171.6,120,1172.2,3,1171.6,10381
36,01-09-2017 09:15,XYZ Corporation,1171.8,118,1172.85,26,1171.8,10412
37,01-09-2017 09:15,XYZ Corporation,1171.8,42,1172.8,26,1172.05,10655
38,01-09-2017 09:15,XYZ Corporation,1171.4,113,1172.6,26,1171.4,10755
39,01-09-2017 09:15,XYZ Corporation,1171.15,59,1171.4,17,1171.4,10974
40,01-09-2017 09:15,XYZ Corporation,1171.15,8,1171.65,2,1171.15,11025
41,01-09-2017 09:15,XYZ Corporation,1171.4,98,1171.55,1,1171.5,11126
42,01-09-2017 09:15,XYZ Corporation,1171.8,91,1172.55,27,1171.55,11136
43,01-09-2017 09:15,XYZ Corporation,1173,54,1173.05,3,1173.05,11309
44,01-09-2017 09:15,XYZ Corporation,1173,23,1173.55,26,1173,11806
45,01-09-2017 09:15,XYZ Corporation,1171.75,74,1172.3,4,1172.3,11991
46,01-09-2017 09:15,XYZ Corporation,1172.05,70,1172.3,6,1171.95,12110
47,01-09-2017 09:15,XYZ Corporation,1171.6,48,1171.95,5,1171.6,12177
48,01-09-2017 09:15,XYZ Corporation,1171.7,7,1172.3,4,1172.3,12293
49,01-09-2017 09:15,XYZ Corporation,1172.3,19,1173.25,26,1172.3,12362
50,01-09-2017 09:15,XYZ Corporation,1172.5,38,1173.4,26,1172.35,12397
51,01-09-2017 09:15,XYZ Corporation,1172.85,103,1173.05,8,1172.85,12506
52,01-09-2017 09:15,XYZ Corporation,1172.85,83,1173.05,8,1172.85,12526
53,01-09-2017 09:15,XYZ Corporation,1172.85,69,1173.05,4,1172.85,12560
54,01-09-2017 09:16,XYZ Corporation,1172.85,16,1173.05,2,1172.85,12613
55,01-09-2017 09:16,XYZ Corporation,1172.85,16,1172.9,4,1172.9,12739
56,01-09-2017 09:16,XYZ Corporation,1173,190,1173.65,51,1173,12761
57,01-09-2017 09:16,XYZ Corporation,1173,124,1173.25,16,1173,12927
58,01-09-2017 09:16,XYZ Corporation,1172.75,34,1172.8,16,1172.8,14005
59,01-09-2017 09:16,XYZ Corporation,1172.65,1,1172.7,7,1172.7,14187
60,01-09-2017 09:16,XYZ Corporation,1172.4,44,1173,100,1172.3,14213
61,01-09-2017 09:16,XYZ Corporation,1172.3,20,1172.7,1,1172.4,14238
62,01-09-2017 09:16,XYZ Corporation,1172.3,4,1172.7,1,1172.3,14254
63,01-09-2017 09:16,XYZ Corporation,1172.3,2,1172.7,5,1172.3,14256
64,01-09-2017 09:16,XYZ Corporation,1172.35,39,1173.1,19,1173.1,15262
65,01-09-2017 09:16,XYZ Corporation,1172,119,1172.15,6,1172,15691
66,01-09-2017 09:16,XYZ Corporation,1172.05,82,1172.95,26,1172,15697
67,01-09-2017 09:16,XYZ Corporation,1171.55,50,1171.6,3,1171.6,15902
68,01-09-2017 09:16,XYZ Corporation,1171.55,13,1171.6,7,1171.6,15989
69,01-09-2017 09:16,XYZ Corporation,1171.25,78,1171.55,13,1171.55,16049
70,01-09-2017 09:16,XYZ Corporation,1171.25,100,1171.55,3,1171.55,16002
71,01-09-2017 09:16,XYZ Corporation,1171.05,150,1171.25,3,1171.25,16152
72,01-09-2017 09:16,XYZ Corporation,1171.1,80,1171.25,2,1171.1,16185
