Id,LotFrontage,LotArea,Street,LotShape,LotConfig,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,OpenPorchSF,SalePrice
1,65,8450,Pave,Reg,Inside,Gtl,CollgCr,7,5,2003,Gable,Gd,856,SBrkr,856,854,1710,2,3,1,8,0,548,61,208500
2,80,9600,Pave,Reg,FR2,Gtl,Veenker,6,8,1976,Gable,Gd,1262,SBrkr,1262,0,1262,2,3,1,6,1,460,0,181500
3,68,11250,Pave,IR1,Inside,Gtl,CollgCr,7,5,2001,Gable,Gd,920,SBrkr,920,866,1786,2,3,1,6,1,608,42,223500
4,60,9550,Pave,IR1,Corner,Gtl,Crawfor,7,5,1915,Gable,TA,756,SBrkr,961,756,1717,1,3,1,7,1,642,35,140000
5,84,14260,Pave,IR1,FR2,Gtl,NoRidge,8,5,2000,Gable,Gd,1145,SBrkr,1145,1053,2198,2,4,1,9,1,836,84,250000
6,85,14115,Pave,IR1,Inside,Gtl,Mitchel,5,5,1993,Gable,Gd,796,SBrkr,796,566,1362,1,1,1,5,0,480,30,143000
7,75,10084,Pave,Reg,Inside,Gtl,Somerst,8,5,2004,Gable,Ex,1686,SBrkr,1694,0,1694,2,3,1,7,1,636,57,307000
8,NA,10382,Pave,IR1,Corner,Gtl,NWAmes,7,6,1973,Gable,Gd,1107,SBrkr,1107,983,2090,2,3,1,7,2,484,204,200000
9,51,6120,Pave,Reg,Inside,Gtl,OldTown,7,5,1931,Gable,TA,952,FuseF,1022,752,1774,2,2,2,8,2,468,0,129900
10,50,7420,Pave,Reg,Corner,Gtl,BrkSide,5,6,1939,Gable,TA,991,SBrkr,1077,0,1077,1,2,2,5,2,205,4,118000
11,70,11200,Pave,Reg,Inside,Gtl,Sawyer,5,5,1965,Hip,TA,1040,SBrkr,1040,0,1040,1,3,1,5,0,384,0,129500
12,85,11924,Pave,IR1,Inside,Gtl,NridgHt,9,5,2005,Hip,Ex,1175,SBrkr,1182,1142,2324,3,4,1,11,2,736,21,345000
13,NA,12968,Pave,IR2,Inside,Gtl,Sawyer,5,6,1962,Hip,TA,912,SBrkr,912,0,912,1,2,1,4,0,352,0,144000
14,91,10652,Pave,IR1,Inside,Gtl,CollgCr,7,5,2006,Gable,Gd,1494,SBrkr,1494,0,1494,2,3,1,7,1,840,33,279500
15,NA,10920,Pave,IR1,Corner,Gtl,NAmes,6,5,1960,Hip,TA,1253,SBrkr,1253,0,1253,1,2,1,5,1,352,213,157000
16,51,6120,Pave,Reg,Corner,Gtl,BrkSide,7,8,1929,Gable,TA,832,FuseA,854,0,854,1,2,1,5,0,576,112,132000
17,NA,11241,Pave,IR1,CulDSac,Gtl,NAmes,6,7,1970,Gable,TA,1004,SBrkr,1004,0,1004,1,2,1,5,1,480,0,149000
18,72,10791,Pave,Reg,Inside,Gtl,Sawyer,4,5,1967,Gable,NA,0,SBrkr,1296,0,1296,2,2,2,6,0,516,0,90000
19,66,13695,Pave,Reg,Inside,Gtl,SawyerW,5,5,2004,Gable,TA,1114,SBrkr,1114,0,1114,1,3,1,6,0,576,102,159000
20,70,7560,Pave,Reg,Inside,Gtl,NAmes,5,6,1958,Hip,TA,1029,SBrkr,1339,0,1339,1,3,1,6,0,294,0,139000
21,101,14215,Pave,IR1,Corner,Gtl,NridgHt,8,5,2005,Gable,Ex,1158,SBrkr,1158,1218,2376,3,4,1,9,1,853,154,325300
22,57,7449,Pave,Reg,Inside,Gtl,IDOTRR,7,7,1930,Gable,TA,637,FuseF,1108,0,1108,1,3,1,6,1,280,0,139400
23,75,9742,Pave,Reg,Inside,Gtl,CollgCr,8,5,2002,Hip,Gd,1777,SBrkr,1795,0,1795,2,3,1,7,1,534,159,230000
24,44,4224,Pave,Reg,Inside,Gtl,MeadowV,5,7,1976,Gable,Gd,1040,SBrkr,1060,0,1060,1,3,1,6,1,572,110,129900
25,NA,8246,Pave,IR1,Inside,Gtl,Sawyer,5,8,1968,Gable,TA,1060,SBrkr,1060,0,1060,1,3,1,6,1,270,90,154000
26,110,14230,Pave,Reg,Corner,Gtl,NridgHt,8,5,2007,Gable,Gd,1566,SBrkr,1600,0,1600,2,3,1,7,1,890,56,256300
27,60,7200,Pave,Reg,Corner,Gtl,NAmes,5,7,1951,Gable,TA,900,SBrkr,900,0,900,1,3,1,5,0,576,32,134800
28,98,11478,Pave,Reg,Inside,Gtl,NridgHt,8,5,2007,Gable,Ex,1704,SBrkr,1704,0,1704,2,3,1,7,1,772,50,306000
29,47,16321,Pave,IR1,CulDSac,Gtl,NAmes,5,6,1957,Gable,TA,1484,SBrkr,1600,0,1600,1,2,1,6,2,319,258,207500
30,60,6324,Pave,IR1,Inside,Gtl,BrkSide,4,6,1927,Gable,TA,520,SBrkr,520,0,520,1,1,1,4,0,240,0,68500
31,50,8500,Pave,Reg,Inside,Gtl,IDOTRR,4,4,1920,Gambrel,TA,649,SBrkr,649,668,1317,1,3,1,6,0,250,54,40000
32,NA,8544,Pave,IR1,CulDSac,Gtl,Sawyer,5,6,1966,Gable,TA,1228,SBrkr,1228,0,1228,1,3,1,6,0,271,65,149350
33,85,11049,Pave,Reg,Corner,Gtl,CollgCr,8,5,2007,Gable,Ex,1234,SBrkr,1234,0,1234,2,3,1,7,0,484,30,179900
34,70,10552,Pave,IR1,Inside,Gtl,NAmes,5,5,1959,Hip,TA,1398,SBrkr,1700,0,1700,1,4,1,6,1,447,38,165500
35,60,7313,Pave,Reg,Inside,Gtl,NridgHt,9,5,2005,Hip,Ex,1561,SBrkr,1561,0,1561,2,2,1,6,1,556,47,277500
36,108,13418,Pave,Reg,Inside,Gtl,NridgHt,8,5,2004,Gable,Ex,1117,SBrkr,1132,1320,2452,3,4,1,9,1,691,32,309000
37,112,10859,Pave,Reg,Corner,Gtl,CollgCr,5,5,1994,Gable,Gd,1097,SBrkr,1097,0,1097,1,3,1,6,0,672,64,145000
38,74,8532,Pave,Reg,Inside,Gtl,NAmes,5,6,1954,Hip,TA,1297,SBrkr,1297,0,1297,1,3,1,5,1,498,0,153000
39,68,7922,Pave,Reg,Inside,Gtl,NAmes,5,7,1953,Gable,TA,1057,SBrkr,1057,0,1057,1,3,1,5,0,246,52,109000
40,65,6040,Pave,Reg,Inside,Gtl,Edwards,4,5,1955,Gable,NA,0,FuseP,1152,0,1152,2,2,2,6,0,0,0,82000
41,84,8658,Pave,Reg,Inside,Gtl,NAmes,6,5,1965,Gable,TA,1088,SBrkr,1324,0,1324,2,3,1,6,1,440,138,160000
42,115,16905,Pave,Reg,Inside,Gtl,Timber,5,6,1959,Gable,TA,1350,SBrkr,1328,0,1328,1,2,1,5,2,308,104,170000
43,NA,9180,Pave,IR1,CulDSac,Gtl,SawyerW,5,7,1983,Gable,Gd,840,SBrkr,884,0,884,1,2,1,5,0,504,0,144000
44,NA,9200,Pave,IR1,CulDSac,Gtl,CollgCr,5,6,1975,Hip,Gd,938,SBrkr,938,0,938,1,3,1,5,0,308,0,130250
45,70,7945,Pave,Reg,Inside,Gtl,NAmes,5,6,1959,Gable,TA,1150,FuseA,1150,0,1150,1,3,1,6,0,300,0,141000
46,61,7658,Pave,Reg,Inside,Gtl,NridgHt,9,5,2005,Hip,Ex,1752,SBrkr,1752,0,1752,2,2,1,6,1,576,82,319900
47,48,12822,Pave,IR1,CulDSac,Gtl,Mitchel,7,5,2003,Gable,Ex,1434,SBrkr,1518,631,2149,1,1,1,6,1,670,43,239686
48,84,11096,Pave,Reg,Inside,Gtl,Somerst,8,5,2006,Gable,Gd,1656,SBrkr,1656,0,1656,2,3,1,7,0,826,146,249700
49,33,4456,Pave,Reg,Inside,Gtl,OldTown,4,5,1920,Gable,TA,736,SBrkr,736,716,1452,2,2,3,8,0,0,0,113000
50,66,7742,Pave,Reg,Inside,Gtl,Sawyer,5,7,1966,Gable,TA,955,SBrkr,955,0,955,1,3,1,6,0,386,0,127000
51,NA,13869,Pave,IR2,Corner,Gtl,Gilbert,6,6,1997,Gable,Gd,794,SBrkr,794,676,1470,2,3,1,6,0,388,75,177000
52,52,6240,Pave,Reg,Inside,Gtl,BrkSide,6,6,1934,Gable,TA,816,SBrkr,816,0,1176,1,3,1,6,1,528,0,114500
53,110,8472,Grvl,IR2,Corner,Mod,IDOTRR,5,5,1963,Gable,Gd,816,SBrkr,816,0,816,1,2,1,5,0,516,0,110000
54,68,50271,Pave,IR1,Inside,Gtl,Veenker,9,5,1981,Gable,Ex,1842,SBrkr,1842,0,1842,0,0,1,5,1,894,72,385000
55,60,7134,Pave,Reg,Inside,Mod,NAmes,5,5,1955,Gable,TA,384,SBrkr,1360,0,1360,1,3,1,6,1,572,50,130000
56,100,10175,Pave,IR1,Inside,Gtl,NAmes,6,5,1964,Gable,TA,1425,SBrkr,1425,0,1425,2,3,1,7,1,576,0,180500
57,24,2645,Pave,Reg,Inside,Gtl,Somerst,8,5,1999,Gable,Gd,970,SBrkr,983,756,1739,2,3,1,7,0,480,0,172500
58,89,11645,Pave,IR1,Corner,Gtl,CollgCr,7,5,2004,Gable,Gd,860,SBrkr,860,860,1720,2,3,1,7,0,565,70,196500
59,66,13682,Pave,IR2,CulDSac,Gtl,StoneBr,10,5,2006,Hip,Ex,1410,SBrkr,1426,1519,2945,3,3,1,10,1,641,0,438780
60,60,7200,Pave,Reg,Inside,Gtl,CollgCr,5,7,1972,Gable,TA,780,SBrkr,780,0,780,1,2,1,4,0,352,0,124900
61,63,13072,Pave,Reg,Inside,Gtl,SawyerW,6,5,2004,Gable,Gd,1158,SBrkr,1158,0,1158,1,3,1,5,0,576,50,158000
62,60,7200,Pave,Reg,Inside,Gtl,IDOTRR,5,7,1920,Gable,TA,530,SBrkr,581,530,1111,1,3,1,6,0,288,0,101000
63,44,6442,Pave,IR1,Inside,Gtl,NridgHt,8,5,2006,Gable,Gd,1370,SBrkr,1370,0,1370,2,2,1,6,1,484,49,202500
64,50,10300,Pave,IR1,Inside,Gtl,OldTown,7,6,1921,Gable,TA,576,SBrkr,902,808,1710,2,3,1,9,0,480,11,140000
65,NA,9375,Pave,Reg,Inside,Gtl,CollgCr,7,5,1997,Gable,Gd,1057,SBrkr,1057,977,2034,2,3,1,8,0,645,36,219500
66,76,9591,Pave,Reg,Inside,Gtl,NridgHt,8,5,2004,Gable,Ex,1143,SBrkr,1143,1330,2473,2,4,1,9,1,852,151,317000
67,NA,19900,Pave,Reg,Inside,Gtl,NAmes,7,5,1970,Gable,Gd,1947,SBrkr,2207,0,2207,2,3,1,7,1,576,0,180000
68,72,10665,Pave,IR1,Inside,Gtl,CollgCr,7,5,2003,Gable,Gd,1453,SBrkr,1479,0,1479,2,3,1,7,0,558,29,226000
69,47,4608,Pave,Reg,Corner,Gtl,OldTown,4,6,1945,Gable,TA,747,SBrkr,747,0,747,1,2,1,4,0,220,0,80000
70,81,15593,Pave,Reg,Corner,Gtl,ClearCr,7,4,1953,Gable,TA,1304,SBrkr,1304,983,2287,2,3,1,7,1,667,21,225000
71,95,13651,Pave,IR1,Inside,Gtl,NAmes,7,6,1973,Gable,Gd,2223,SBrkr,2223,0,2223,2,3,1,8,2,516,0,244000
72,69,7599,Pave,Reg,Corner,Gtl,Mitchel,4,6,1982,Gable,TA,845,SBrkr,845,0,845,1,2,1,4,0,360,0,129500
73,74,10141,Pave,IR1,Corner,Gtl,Gilbert,7,5,1998,Gable,Gd,832,SBrkr,885,833,1718,2,3,1,7,1,427,94,185000
74,85,10200,Pave,Reg,Inside,Gtl,NAmes,5,7,1954,Gable,TA,1086,SBrkr,1086,0,1086,1,3,1,6,0,490,0,144900
75,60,5790,Pave,Reg,Corner,Gtl,OldTown,3,6,1915,Gambrel,Fa,840,SBrkr,840,765,1605,2,3,2,8,0,379,0,107400
76,21,1596,Pave,Reg,Inside,Gtl,MeadowV,4,5,1973,Gable,Gd,462,SBrkr,526,462,988,1,2,1,5,0,297,101,91000
77,NA,8475,Pave,IR1,Inside,Gtl,NAmes,4,7,1956,Gable,TA,952,FuseA,952,0,952,1,2,1,4,0,283,0,135750
78,50,8635,Pave,Reg,Inside,Gtl,BrkSide,5,5,1948,Gable,TA,672,SBrkr,1072,213,1285,1,2,1,6,0,240,0,127000
